Date,Singapore ETF,Malaysia ETF,Philippines ETF,Vietnam ETF,CapitaLand Integ. Comm. Trust,Ascendas REIT,DBS Group,Maybank,BCA
2015-01-02,16.751516342163086,25.951025009155273,33.722999572753906,16.188831329345703,1.166972041130066,1.281667709350586,11.005093574523926,4.554531574249268,2156.950927734375
2015-01-05,16.389883041381836,25.340181350708008,33.324798583984375,15.88193416595459,1.1726921796798706,1.2870075702667236,10.758150100708008,4.494603157043457,2152.873291015625
2015-01-06,16.19614601135254,25.103727340698242,33.60796356201172,16.103580474853516,1.1555309295654297,1.2656468152999878,10.645415306091309,4.394722938537598,2136.564208984375
2015-01-07,16.37696647644043,25.359886169433594,34.08580017089844,16.06096076965332,1.1898541450500488,1.281667709350586,10.629310607910156,4.2998366355896,2140.641357421875
2015-01-08,16.712766647338867,25.734272003173828,34.678672790527344,16.078006744384766,1.1612515449523926,1.281667709350586,10.779623985290527,4.344782829284668,2116.177001953125
2015-01-09,16.519039154052734,25.576635360717773,34.45744705200195,16.188831329345703,1.1784130334854126,1.2976880073547363,10.806466102600098,4.2998366355896,2108.02197265625
2015-01-12,16.41571617126465,25.47811508178711,34.29816818237305,16.069482803344727,1.1898541450500488,1.3190492391586304,10.752781867980957,4.284855842590332,2120.254150390625
2015-01-13,16.441543579101562,25.69486427307129,34.94413375854492,15.992757797241211,1.2070152759552002,1.3510910272598267,10.763518333435059,4.304831027984619,2120.254150390625
2015-01-14,16.37696647644043,25.537229537963867,35.262691497802734,15.864884376525879,1.2012947797775269,1.2923481464385986,10.725939750671387,4.189970016479492,2108.02197265625
2015-01-15,16.531949996948242,25.616046905517578,35.66973876953125,15.88193416595459,1.229896903038025,1.3137093782424927,10.731307983398438,4.29484224319458,2112.099365234375
2015-01-16,16.454463958740234,26.18747901916504,35.58125305175781,16.078006744384766,1.247058391571045,1.3083690404891968,10.634676933288574,4.29484224319458,2112.099365234375
2015-01-20,16.467374801635742,25.69486427307129,35.23615264892578,15.864884376525879,1.235617756843567,1.3457510471343994,10.69372844696045,4.454651355743408,2124.3310546875
2015-01-21,16.596534729003906,26.128368377685547,35.58125305175781,15.660286903381348,1.2527787685394287,1.3457510471343994,10.736677169799805,4.429680824279785,2132.48681640625
2015-01-22,16.790267944335938,26.64069175720215,35.660892486572266,15.92455768585205,1.2642196416854858,1.3457510471343994,10.736677169799805,4.429680824279785,2152.873291015625
2015-01-23,16.751516342163086,26.502758026123047,35.705135345458984,15.898985862731934,1.2871017456054688,1.3724523782730103,10.8225736618042,4.494603157043457,2173.260498046875
2015-01-26,16.699857711791992,26.561866760253906,36.03254699707031,15.941610336303711,1.2642196416854858,1.3884726762771606,10.69909954071045,4.454651355743408,2144.71875
2015-01-27,16.699857711791992,26.30571174621582,35.944061279296875,15.626184463500977,1.258499026298523,1.3510910272598267,10.752781867980957,4.454651355743408,2152.873291015625
2015-01-28,16.493206024169922,26.069252014160156,35.864410400390625,15.66880989074707,1.229896903038025,1.324390172958374,10.747414588928223,4.339788913726807,2165.10595703125
2015-01-29,16.686939239501953,26.029844284057617,36.28031539916992,15.728482246398926,1.2232451438903809,1.3297295570373535,10.715205192565918,4.324807643890381,2173.260498046875
2015-01-30,16.493206024169922,25.556930541992188,36.12989044189453,15.592084884643555,1.2116501331329346,1.3137093782424927,10.623945236206055,4.354771614074707,2181.4150390625
2015-02-02,16.686939239501953,25.793392181396484,36.413047790527344,15.71143627166748,1.2174477577209473,1.3564311265945435,10.58636474609375,4.354771614074707,2177.337890625
2015-02-03,16.738601684570312,26.38452911376953,36.342254638671875,15.557988166809082,1.2290425300598145,1.377792477607727,10.489731788635254,4.354771614074707,2201.802734375
2015-02-04,16.738601684570312,26.404232025146484,36.20952606201172,15.609132766723633,1.240637183189392,1.3404103517532349,10.521944046020508,4.40970516204834,2267.041748046875
2015-02-05,16.751516342163086,26.936254501342773,36.44843292236328,16.112106323242188,1.2580292224884033,1.324390172958374,10.425313949584961,4.454651355743408,2234.421875
2015-02-06,16.738601684570312,26.71950912475586,36.26262664794922,16.052433013916016,1.26962411403656,1.3404103517532349,10.403838157653809,4.4596452713012695,2234.421875
2015-02-09,16.62236213684082,26.79832649230957,36.48383331298828,16.1291561126709,1.2638267278671265,1.3137093782424927,10.441421508789062,4.494603157043457,2250.731201171875
2015-02-10,16.661108016967773,26.680099487304688,36.368804931640625,16.052433013916016,1.2580292224884033,1.3190492391586304,10.468259811401367,4.544543266296387,2242.576904296875
2015-02-11,16.648193359375,26.10866355895996,36.03254699707031,16.376379013061523,1.240637183189392,1.3083690404891968,10.473627090454102,4.544543266296387,2271.118896484375
2015-02-12,16.686939239501953,26.463350296020508,36.72275924682617,16.68327522277832,1.2232451438903809,1.281667709350586,10.387733459472656,4.529560565948486,2267.041748046875
2015-02-13,16.738601684570312,26.955963134765625,36.86433410644531,16.64917755126953,1.2232451438903809,1.281667709350586,10.3501558303833,4.589488983154297,2287.42822265625
2015-02-17,16.661108016967773,26.7589168548584,37.005916595458984,16.853776931762695,1.2116501331329346,1.2923481464385986,10.409210205078125,4.594483375549316,2295.582763671875
2015-02-18,16.738601684570312,26.483055114746094,37.1563606262207,16.70032501220703,1.2464348077774048,1.3137093782424927,10.441421508789062,4.604471683502197,2295.582763671875
2015-02-19,16.648193359375,26.345115661621094,37.08556365966797,16.615079879760742,1.2464348077774048,1.3137093782424927,10.441421508789062,4.604471683502197,2295.582763671875
